refund_id,original_transaction_id,date,amount,reason,employee_id,customer_id,manager_approval,refund_method
REF001,TXN001,2024-01-15,12.99,Defective Product,EMP001,CUST001,MANAGER001,Cash
REF002,TXN001,2024-01-15,12.99,Defective Product,EMP001,CUST001,MANAGER001,Cash
REF003,TXN001,2024-01-15,12.99,Defective Product,EMP001,CUST001,MANAGER001,Cash
REF004,TXN004,2024-01-15,45.50,Customer Changed Mind,EMP002,CUST002,MANAGER002,Credit Card
REF005,TXN004,2024-01-15,45.50,Customer Changed Mind,EMP002,CUST002,MANAGER002,Credit Card
REF006,TXN006,2024-01-15,8.99,Wrong Item,EMP003,CUST003,MANAGER003,Cash
REF007,TXN007,2024-01-15,250.00,Defective Product,EMP004,CUST004,MANAGER001,Credit Card
REF008,TXN008,2024-01-15,25.00,Customer Dissatisfied,EMP005,CUST005,MANAGER002,Cash
REF009,TXN008,2024-01-15,25.00,Customer Dissatisfied,EMP005,CUST005,MANAGER002,Cash
REF010,TXN008,2024-01-15,25.00,Customer Dissatisfied,EMP005,CUST005,MANAGER002,Cash
REF011,TXN011,2024-01-15,15.99,Food Quality Issue,EMP006,CUST006,MANAGER003,Credit Card
REF012,TXN011,2024-01-15,15.99,Food Quality Issue,EMP006,CUST006,MANAGER003,Credit Card
REF013,TXN013,2024-01-15,89.99,Defective Product,EMP007,CUST007,MANAGER001,Credit Card
REF014,TXN013,2024-01-15,89.99,Defective Product,EMP007,CUST007,MANAGER001,Credit Card
REF015,TXN015,2024-01-15,22.50,Customer Changed Mind,EMP008,CUST008,MANAGER002,Cash
